"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2331,179,"POL","Poland",1,"Lódz","","Lódzkie","Województwo","Voivodeship|Province"
2332,179,"POL","Poland",2,"Swietokrzyskie","","Swietokrzyskie","Województwo","Voivodeship|Province"
2333,179,"POL","Poland",3,"Greater Poland","","Wielkopolskie","Województwo","Voivodeship|Province"
2334,179,"POL","Poland",4,"Kuyavian-Pomeranian","","Kujawsko-Pomorskie","Województwo","Voivodeship|Province"
2335,179,"POL","Poland",5,"Lesser Poland","","Malopolskie","Województwo","Voivodeship|Province"
2336,179,"POL","Poland",6,"Lower Silesian","","Dolnoslaskie","Województwo","Voivodeship|Province"
2337,179,"POL","Poland",7,"Lublin","","Lubelskie","Województwo","Voivodeship|Province"
2338,179,"POL","Poland",8,"Lubusz","","Lubuskie","Województwo","Voivodeship|Province"
2339,179,"POL","Poland",9,"Masovian","","Mazowieckie","Województwo","Voivodeship|Province"
2340,179,"POL","Poland",10,"Opole","","Opolskie","Województwo","Voivodeship|Province"
2341,179,"POL","Poland",11,"Podlachian","","Podlaskie","Województwo","Voivodeship|Province"
2342,179,"POL","Poland",12,"Pomeranian","","Pomorskie","Województwo","Voivodeship|Province"
2343,179,"POL","Poland",13,"Silesian","","Slaskie","Województwo","Voivodeship|Province"
2344,179,"POL","Poland",14,"Subcarpathian","","Podkarpackie","Województwo","Voivodeship|Province"
2345,179,"POL","Poland",15,"Warmian-Masurian","","Warminsko-Mazurskie","Województwo","Voivodeship|Province"
2346,179,"POL","Poland",16,"West Pomeranian","","Zachodniopomorskie","Województwo","Voivodeship|Province"
